Bogen;Segmentierte Handschrift;Segmentierte Handschrift;Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.;Q9-Skripte, digitale Nutzung;Q9-Skripte, Papierdruck;Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________;Leitlinien der Fachgesellschaften (im Original);Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);Aufgaben/Patientenfälle auf Moodle;Testfragen auf Moodle;andere: ____________________________________________;2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?;Lernskripte;zeitunabhängig angebotene Vorlesungs- und Seminarvideos;Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom);Präsenzveranstaltungen an bestimmten Terminen;Aufgaben zur eigenständigen Bearbeitung (mit Lösung);Testfragen zu den Lerninhalten;Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);alle sind gleich nützlich;4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?;5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?;6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?;7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?;Installation des Programms(Zeit in Stunden):                                       ;Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):;Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):;semesterbegleitend ;zur Prüfungsvorbereitung;in speziellen Situationen, z.B. im Bus/Zug;Sonstiges: ____________________;PC;Laptop;Tablet;Handy;Ich hatte nicht ausreichend Zeit dazu. ;Die Lernkarten haben mich nicht interessiert.;Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.;Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.;Ich wusste nicht, dass es die Lernkarten gibt.;Ich nutze eigene Lernkarten.;Sonstige Gründe: ______________________________________;12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?;13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?;14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?;15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?;Nein, nicht wesentlich.;Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.;Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Sonstige Veränderungen: ______________________________________;Wie alt sind Sie (in Jahren)?;Bitte geben Sie Ihr Geschlecht an:;Datensatz-Ursprung;Pruefungspunkte
22;AL   11;ST   26;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;2;1;1;2;O;O,Z;^;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];4;3;;;;;;;;Z^;1;P;36
23;KR   06;JO   21;1;0;1;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;3;2;;;;;;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;[LEER];3;2;0;1;0;0;0;0;0;Z4;1;P;38
24;FA   15;SE   02;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;0;0;0;0;1;0;1;0;0;0;0;1;[LEER];3;3;0;0;1;1;1;0;0;ZZ;1;P;37
25;;;1;1;0;0;0;1;1;0;0;0;;1;0;0;0;0;0;1;0;0;1;1;1;1;OO1;OO1;;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];5;5;0;1;0;0;0;0;1;ZZ;3;P;
26;SO   12;FR   11;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;3;1;1;2;5;;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;[LEER];3;2;0;0;0;1;1;0;0;Z4;1;P;28
27;IN   17;HA   09;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;2;1;1;1;5;OI1;Z;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];4;4;0;1;0;1;1;0;0;ZZ;2;P;35
28;AN   06;IN   25;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;1;1;0;0;3;1;1;1;5;5;Z;0;1;1;0;0;0;0;1;;;;;;;;1;[LEER];3;2;0;0;1;1;1;0;0;Z4;1;P;29
29;GE   25;GE   04;1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;1;0;1;[LEER];4;3;0;0;1;1;0;1;0;ZZ;1;P;38
30;SA   12;RU   09;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;1;2;2;5;O;S;0;0;0;1;0;1;0;0;;;;;;;;1;[LEER];3;2;0;0;0;1;1;0;0;ZS;1;P;31
31;JO   12;KL   01;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;3;1;1;3;5;5;1;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];4;3;0;0;0;0;0;0;1;ZO;2;P;23
32;ZL   30;JO   10;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;3;2;2;;;;;;;;;;;;;0;0;0;1;0;0;0;1;[LEER];3;3;0;0;1;0;0;0;0;Z4;2;P;31
33;DE   16;AL   21;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;;0;0;1;0;0;0;0;Z6;2;P;30
34;DA   25;SI   25;;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;3;1;1;2;1O;1O;45;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;2;0;0;0;0;1;0;0;22;2;P;31
35;BR   29;GE   10;1;1;0;1;0;0;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;1;0;1;[LEER];4;4;0;0;0;1;0;1;0;ZZ;1;P;36
36;ST   27;DA   12;;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;0;0;1;0;1;0;0;Z1;2;P;35
37;SU   06;ST   07;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;3;2;;;;;;;;;;;;;;0;1;1;0;0;0;0;2;[LEER];4;4;0;0;1;0;0;0;0;Z9;2;P;33
38;JU   14;RE   22;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;1;1;0;3;1;1;1;O;O;;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;4;0;0;1;1;0;1;0;22;1;P;29
39;AN   04;GÜ   12;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;[LEER];;;;;;;;;;;;P;29
40;SA   22;HI   10;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;;[LEER];3;2;;;;;;;;;2;P;23
41;HE   08;OT   27;1;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;2;2;O;O;Z;0;1;0;0;0;0;1;1;;;;;;;;1;[LEER];3;2;1;0;0;0;0;0;0;ZZ;2;P;27
42;BA   03;JU   04;1;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;O;1;1O;0;1;0;0;0;0;0;1;;;;;;;;1;[LEER];3;4;0;0;1;1;0;0;0;ZZ;2;P;31
43;IR   20;FR   19;;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;;[LEER];3;2;0;0;0;1;1;0;0;ZZ;1;P;28
44;;XX   99;;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;1;0;1;[LEER];4;4;0;0;0;1;0;0;0;ZZ;2;P;
45;MA   20;JU   06;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;3;1;1;1;OO1;OO1;Z;0;1;0;0;1;0;1;1;;;;;;;;1;[LEER];3;3;0;0;0;1;1;0;0;Z6;2;P;32
46;CL   05;CA   27;1;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;2;2;2;;Z;^O;;;;;;;;;;1;0;1;0;0;0;0;2;[LEER];3;;0;0;1;0;0;0;0;ZZ;1;P;33
47;AN   10;WO   05;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;2;;;;;;;;;;0;0;0;0;1;0;1;1;0;0;0;1;[LEER];3;2;0;0;1;0;0;0;0;Z4;1;P;33
48;DA   09;MI   14;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;;;;;;;;;;;;;0;1;1;0;0;0;0;;[LEER];3;3;0;0;0;1;0;0;0;ZZ;1;P;32
49;MA   07;ST   07;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;3;0;0;0;1;1;0;0;24;1;P;35
50;IN   25;WE   02;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;1;1;1;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;0;0;1;1;0;0;0;ZZ;1;P;34
51;MA   24;FR   18;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;;;;;;;;1;[LEER];2;2;0;0;0;1;1;0;0;Z4;2;P;26
52;SI   30;MI   15;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;;1;1;O1;0O1;1O;0;1;0;0;1;0;0;0;;;;;;;;1;[LEER];3;3;0;0;1;0;0;0;0;ZZ;1;P;30
53;HI   01;CH   30;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;3;1;1;1;O/1;O/1;1Z;0;1;1;1;0;0;1;0;;;;;;;;1;[LEER];3;2;0;0;1;1;1;0;0;Z6;2;P;24
54;JU   25;JO   25;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;2;1;0;0;1;0;1;0;Z1;2;P;24
55;ME   28;GE   26;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;29
56;KA   06;AL   15;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;1;0;0;1;[LEER];4;2;1;0;0;0;0;0;0;ZZ;2;P;33
57;CO   28;PE   20;1;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;3;1;1;3;9ZS;9ZS;Z;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;0;1;0;0;0;ZZ;1;P;36
58;AN   28;GE   22;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;3;1;1;3;5;O5;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;[LEER];3;3;0;0;1;1;1;0;0;ZZ;1;P;37
59;CH   03;CL   14;;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;;[LEER];4;2;0;1;0;0;0;0;0;ZZ;2;P;32
60;RO   22;RO   23;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;1;;;;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];4;4;0;0;0;1;1;0;0;ZZ;1;P;37
61;;ZO   01;;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;0;0;0;1;0;0;0;;[LEER];3;;0;1;1;0;0;0;0;ZY;1;P;
62;AN   30;MA   06;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;2;5;O;Z;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;29
63;BI   04;HE   19;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZB;2;P;22
64;;MU   10;1;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;1;0;1;0;Z9;2;P;
65;IN   10;UW   28;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;3;1;2;2;5;95;^;0;0;1;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;0;1;1;0;0;;1;P;26
66;UL   28;RO   03;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;;[LEER];3;2;1;0;0;0;0;0;0;ZZ;1;P;36
67;AN   24;JO   14;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;2;5;5;ZO;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;0;1;0;0;0;Z6;1;P;28
68;KA   22;PE   18;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;3;1;1;2;0O5;5;Z;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;0;1;1;0;0;ZZ;2;P;32
69;JU   16;UL   28;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;3;1;;3;OO1;95;;0;0;1;0;0;0;0;1;;;;;;;;1;[LEER];;;0;1;0;1;1;0;0;ZZ;1;P;30
70;MA   09;TO   09;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];1;1;0;1;0;1;1;0;0;ZZ;1;P;31
71;BR   21;GE   22;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;3;1;1;2;CO1;OO1;OO5;1;0;0;0;0;0;0;1;;;;;;;;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;32
72;CL   13;MA   10;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;3;1;1;2;O;O;I;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];2;2;0;1;0;0;1;0;0;Z4;2;P;29
73;BA   28;LU   08;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;3;2;;;;;;0;0;0;0;;;;;1;0;1;1;0;0;0;1;[LEER];3;3;0;0;1;1;0;0;0;ZZ;1;P;35
74;GA   21;WI   13;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;2;1;1;1;1;^;^;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;1;1;0;1;0;3O;1;P;33
75;ME   19;LA   16;1;0;1;0;0;1;1;0;1;0;1;1;1;0;0;1;1;0;0;0;3;1;1;1;1;1;8;0;1;0;0;0;0;1;1;;;;;;;;1;[LEER];3;4;0;0;1;1;0;0;0;ZZ;1;P;34
76;BR   16;ST   18;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;2;2;;;;;;;;;;;;;;1;0;0;1;0;0;0;2;[LEER];3;3;0;1;0;1;1;0;0;ZZ;2;P;35
77;SU   11;FR   03;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;2;0;1;0;0;1;0;0;ZL;2;P;33
78;AN   21;CH   18;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];2;2;0;0;0;1;0;0;0;Z9;2;P;33
79;L0   10;LA   12;1;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;1;0;1;[LEER];3;3;0;0;1;1;1;0;0;Z5;1;P;30
80;BR   27;PE   29;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;3;0;0;0;1;0;0;0;Z8;1;P;39
81;HA   28;VO   03;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;0;1;0;0;0;0;0;Z6;1;P;23
82;SY   20;AN   07;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;3;1;1;2;O;5;1;0;0;1;0;0;0;0;1;;;;;;;;1;[LEER];4;3;1;0;0;0;0;0;0;Z5;1;P;37
83;NI   27;DI   23;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;0;0;3;1;1;1;O;O;Z;0;1;1;0;0;0;1;0;;;;;;;;1;[LEER];2;2;0;0;1;1;0;0;0;Z7;2;P;24
84;DJ   26;AB   26;1;1;0;0;0;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;2;1;2;1;5;5;4;0;0;1;0;0;0;1;0;;;;;;;;;[LEER];2;2;0;0;0;0;1;0;0;ZZ;1;P;25
85;GA   17;HA   03;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;[LEER];2;2;0;0;1;0;0;0;0;Z4;1;P;34
86;SA   02;TH   27;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;1;0;0;0;;[LEER];3;3;0;0;0;0;1;0;0;ZZ;1;P;22
87;CH   27;WO   15;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;3;1;1;2;O;C;1;0;1;1;0;0;1;0;0;;;;;;;;1;[LEER];3;;1;0;0;0;0;0;0;Z1;2;P;32
88;EL   01;SE   17;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;;[LEER];3;3;0;1;0;0;0;0;0;33;1;P;26
89;DO   13;RE   22;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;3;1;1;3;O1;DB;O1;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];2;2;0;1;0;0;0;0;0;Z5;1;P;35
